x y
513.4728201881928 286.45551923003427
797.2733077655497 1097.15829227023
189.61808528746766 802.0430174860873
1011.0211273876164 501.5423100586474
387.0804196999563 1198.123446851109
302.08808679098837 1502.919756155756
204.5254306991477 810.5890008880082
402.2280978998729 1203.8979720796378
617.6998761763563 1303.9043531243967
1003.3024974953225 498.2825058868052
997.9638980506061 497.4698870551997
498.0318807451077 289.06997751779164
202.78960578168756 801.2097301873309
690.2690563193385 205.87263452976438
813.6141745593878 1097.1520530023583
1194.1399343305807 991.906836496841
1208.7183780224436 1010.4601231723911
290.5812037381259 1501.7794285308003
807.6520810816214 1100.2997939534082
802.6769657522167 1103.1376623253261
498.48691803808435 297.9835535364076
606.4972206433026 1308.2076584913275
699.8459060492365 206.42789046754058
306.8044143550552 1496.7896667209145
609.5632234326218 1293.2143351999957
696.7032621432649 202.3734650295049
1200.0567725667127 985.0726993162212
488.98305952095404 293.0131079516794
308.1054506399099 1495.6094977611117
287.28543598594047 1493.243519514993
693.2930153078072 197.25089046999148
225.13462196881724 806.701418292201
1012.0174613968503 490.0351185003239
999.069536581401 511.0672684980117
403.75210993696334 1185.6280294465162
707.9335781364032 202.80700332510403
691.4149787709283 177.77768592681056
999.3957148505574 496.87089631518256
597.8908891198116 1301.5712141959832
602.7353332648975 1307.9110310781714
703.9776479860183 213.38976976703896
187.42139060064642 806.2070172467395
610.3576119382416 1304.552719234679
707.6927740002078 198.57484284430828
1193.3652552899396 1002.1962663732877
209.07795876335598 805.526423839047
485.0540555262183 315.4467013850904
806.989951527939 1105.2814233076938
293.57690346852837 1509.1698696086917
396.07021501959423 1176.453327630245
405.0072998364354 1198.884798057489
1210.1419539666558 992.1049787144002
1003.0286628728087 496.781485525436
297.500782033814 1513.4409829611764
493.69860413515545 299.65720516494395
1197.1991395208872 995.7865520313417
599.5469835459119 1301.3331491461424
301.47827953693985 1495.138184481906
404.29125468549535 1205.5697797017358
581.4049212702789 1298.2121003003613
489.43577086121803 303.00209938126716
197.81895789140313 793.3645362244638
996.6443444652605 500.49630705512686
812.4524460998139 1093.0439699069962
1206.205783681668 994.9108803880328
701.2008850937129 197.6038441056229
588.0896167471789 1298.3975686177946
396.44300378541783 1192.931965630835
197.76815575200652 800.056315008173
380.43849174950884 1187.6514600528592
998.5003365990956 514.1392318083845
388.07053535946716 1206.2882056350365
300.86613806741724 1496.614416504367
787.694330479529 1102.9001241980745
202.4327133793197 801.9079361075596
391.34596397878556 1190.6442445005582
719.4008995356186 210.90722537976865
189.93486311288885 810.578251960655
501.0179005968123 303.48742653469986
507.4286563519639 295.72204488235417
991.1916496403861 494.06582078024184
1201.807440175113 1006.795408559257
493.26413938527355 293.3452050094178
595.8798720933513 1314.5232004015497
1201.349492419021 1007.8498431136666
1200.494122752961 994.3992641290442
788.3730768634375 1092.3235195490959
807.2652824290776 1098.3176626546883
290.46949894936745 1493.8728928306866
805.185223569234 1096.360066491308
